vru.line,call_id,customer_id,priority,type,date,vru_entry,vru_exit,vru_time,q_start,q_exit,q_time,outcome,ser_start,ser_exit,ser_time,server,startdate
AA0101,876,9664491,2,PS,1999-01-01,00:00:31,00:00:36,5,00:00:36,00:03:09,153,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0101,33117,0,0,PS,1999-01-01,00:34:12,00:34:23,11,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0101,2536,27997683,2,PS,1999-01-01,06:55:20,06:55:26,6,06:55:26,06:55:43,17,AGENT,06:55:43,06:56:37,54,MICHAL,0
AA0101,33119,0,0,PS,1999-01-01,07:41:16,07:41:26,10,00:00:00,00:00:00,0,AGENT,07:41:25,07:44:53,208,BASCH,0
AA0101,33120,0,0,PS,1999-01-01,08:03:14,08:03:24,10,00:00:00,00:00:00,0,AGENT,08:03:23,08:05:10,107,MICHAL,0
AA0101,33121,0,0,PS,1999-01-01,08:18:42,08:18:51,9,00:00:00,00:00:00,0,AGENT,08:18:50,08:23:25,275,KAZAV,0
AA0101,33122,0,0,PS,1999-01-01,08:28:33,08:28:43,10,00:00:00,00:00:00,0,AGENT,08:28:42,08:30:24,102,KAZAV,0
AA0101,6165,68062744,2,PS,1999-01-01,08:42:13,08:42:19,6,08:42:19,08:42:23,4,AGENT,08:42:23,08:45:30,187,KAZAV,0
AA0101,33124,0,0,PS,1999-01-01,08:52:52,08:53:06,14,00:00:00,00:00:00,0,AGENT,08:53:05,08:54:38,93,BASCH,0
AA0101,133,1466671,2,PS,1999-01-01,09:04:04,09:04:10,6,09:04:10,09:04:56,46,AGENT,09:04:54,09:06:37,103,VICKY,0
AA0101,33126,0,0,PS,1999-01-01,09:16:49,09:17:20,31,00:00:00,00:00:00,0,AGENT,09:17:19,09:18:27,68,YITZ,0
AA0101,2169,23949225,2,PS,1999-01-01,09:27:03,09:27:09,6,09:27:09,09:28:00,51,AGENT,09:27:58,09:31:13,195,SHARON,0
AA0101,5404,59669259,1,PS,1999-01-01,09:41:14,09:41:20,6,09:41:20,09:41:46,26,AGENT,09:41:45,09:42:19,34,BASCH,0
AA0101,4521,49921232,2,PS,1999-01-01,09:47:49,09:47:55,6,09:47:55,09:49:15,80,AGENT,09:49:14,09:51:48,154,KAZAV,0
AA0101,33130,0,0,PS,1999-01-01,10:04:47,10:04:56,9,00:00:00,00:00:00,0,AGENT,10:04:56,10:05:49,53,MORIAH,0
AA0101,33131,0,0,PS,1999-01-01,10:23:44,10:23:54,10,00:00:00,00:00:00,0,AGENT,10:23:53,10:27:47,234,VICKY,0
AA0101,33132,0,0,PS,1999-01-01,10:35:08,10:35:28,20,00:00:00,00:00:00,0,AGENT,10:35:26,10:36:19,53,BASCH,0
AA0101,2199,24290983,2,PS,1999-01-01,10:48:44,10:48:49,5,10:48:49,10:49:17,28,AGENT,10:49:17,11:01:22,725,BASCH,0
